序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,老式双低,新式双低,MA20乖离,热门度,转债名称,
207,岩土转债!,128037,2018-04-25,中化岩土,002542,建筑,建筑工程,99.043,0.04%,-0.04%,3.45,-0.29%,1.0,0.2%,112.3,8.01,1.56,43.07,130%,转股中,3.75年,1.75年,9.6%,4.1%,6.0,62,3.47%,2.84%,1.97%,1.68%,94.92,96.27,0.07,96.34,2.8%,38%,38%,16%,0.00,AA,4.27%,155.0,58.7,-1.3%,50,岩土转债!,
196,德尔转债!,123011,2018-08-14,德尔股份,300473,汽车,零部件制,102.18,-0.17%,-0.56%,25.46,-3.12%,3.3,1.3%,117.1,34.66,1.27,73.46,39.1%,转股中,4年35天,2年35天,8.7%,6.4%,2.5,29,3.47%,2.69%,0.62%,0.31%,92.38,95.36,6.50,101.87,0.3%,36%,18%,17%,0.23,AA-,5.27%,130.9,35.5,1.7%,37,德尔转债!,
171,奇精转债!,113524,2019-01-07,奇精机械,603677,家电,零部件制,101.82,-0.11%,0.00%,10.42,-0.48%,0.6,0.2%,117.9,14.28,2.00,72.97,39.5%,转股中,4.50年,2.50年,16.5%,12.0%,3.3,20,3.38%,2.65%,0.58%,0.33%,92.58,98.02,6.13,104.15,-2.2%,45%,15%,18%,0.22,AA,4.27%,130.7,32.6,-1.0%,50,奇精转债!,
130,大业转债!,113535,2019-06-03,大业股份,603278,汽车,零部件制,99.95,-0.14%,0.10%,7.75,-0.39%,2.1,0.4%,113.1,12.56,1.41,61.70,62.0%,转股中,3.90年,1.90年,22.3%,13.7%,5.0,22,3.26%,2.62%,0.92%,0.74%,93.44,96.25,2.16,98.41,1.6%,47%,25%,18%,0.10,AA,4.27%,138.2,41.9,0.8%,53,大业转债!,
141,未来转债,128063,2019-04-24,德尔未来,002631,其他,家居用品,110.416,-0.39%,0.20%,7.33,-0.54%,0.6,0.1%,128.2,8.61,2.85,85.13,29.7%,转股中,4.81年,3.81年,12.9%,10.9%,6.3,49,3.24%,2.24%,-0.36%,-0.78%,89.16,100.82,11.79,112.61,-1.9%,49%,14%,16%,0.35,AA-,5.27%,135.7,34.9,-1.4%,40,未来转债,
242,永东转债!,128014,2017-07-18,永东股份,002753,石油天然,化工,101.914,0.16%,-0.13%,8.31,0.36%,0.7,0.2%,111.3,12.64,1.80,65.74,55.0%,转股中,2.84年,0.84年,10.8%,7.1%,3.4,31,3.20%,2.44%,-0.11%,-0.46%,96.83,96.86,1.66,98.51,3.5%,52%,30%,17%,0.08,AA-,5.09%,138.1,41.2,1.3%,42,永东转债!,
123,清水转债,123028,2019-07-15,清水源,300437,城市公用,三废处理,105.2,-0.74%,0.45%,10.01,-0.69%,5.4,1.0%,122.4,11.95,1.45,83.77,25.6%,转股中,5年6.1天,3年6.1天,22.4%,18.8%,4.9,22,3.16%,2.36%,0.04%,-0.29%,88.85,93.93,15.30,109.23,-3.7%,38%,14%,18%,0.42,AA-,5.59%,126.6,32.7,-0.3%,45,清水转债,
198,海澜转债!,110045,2018-07-31,海澜之家,600398,服装纺织,服装行业,98.67,-0.11%,0.06%,6.07,-2.25%,6.7,0.2%,111.6,12.02,2.03,50.50,95.4%,转股中,4年30天,2年30天,11.0%,5.6%,29,268,3.12%,2.57%,1.73%,1.50%,94.41,96.20,0.34,96.54,2.2%,31%,30%,16%,0.02,AA+,3.77%,146.8,50.6,-0.6%,60,海澜转债!,
149,迪森转债!,123023,2019-04-16,迪森股份,300335,能源电力,电力供应,99.52,-0.13%,0.13%,4.64,0.00%,1.3,0.2%,114.9,7.19,1.25,64.53,54.2%,转股中,4.77年,3.77年,35.6%,23.0%,6.0,17,3.12%,2.53%,1.45%,1.19%,89.49,94.49,4.32,98.81,0.7%,39%,22%,18%,0.16,AA,4.27%,134.5,40.0,0.9%,51,迪森转债!,
221,双环转债!,128032,2018-01-25,双环传动,002472,机械装备,通用设备,99.2,0.20%,-0.21%,5.04,-0.98%,4.3,0.4%,110.3,9.89,1.05,50.96,94.7%,转股中,3.53年,1.53年,28.9%,14.7%,10,35,3.11%,2.54%,2.14%,1.80%,95.80,95.44,0.80,96.24,3.1%,35%,34%,16%,0.01,AA,4.27%,147.4,51.6,1.2%,52,双环转债!,
162,长城转债!,113528,2019-03-20,长城科技,603897,机械装备,专用设备,102.52,0.00%,-0.50%,18.24,-1.57%,7.4,1.1%,117.6,23.75,1.76,76.80,33.5%,转股中,4.72年,2.72年,19.5%,15.0%,6.3,33,3.02%,2.33%,0.48%,0.21%,89.79,92.81,10.03,102.85,-0.3%,46%,17%,17%,0.32,AA-,5.27%,128.2,35.4,-1.1%,48,长城转债!,
36,科达转债!,113569,2020-04-08,苏州科达,603660,通信互联,物联网,102.15,0.02%,-0.25%,9.37,-1.16%,1.1,0.2%,120.7,14.88,2.73,62.97,62.2%,3月2天,5.74年,3.74年,10.9%,6.9%,5.2,47,3.01%,2.36%,0.47%,0.27%,84.32,88.90,6.25,95.16,7.4%,52%,30%,17%,0.20,AA-,5.59%,141.3,52.4,-2.7%,20,科达转债!,
173,钧达转债!,128050,2018-12-27,钧达股份,002865,汽车,零部件制,108.73,-0.42%,-0.35%,13.82,-1.71%,53,15.3%,123.5,14.93,1.97,92.57,17.5%,转股中,4.49年,2.49年,19.2%,17.7%,3.2,17,2.94%,2.03%,-1.74%,-2.01%,90.73,98.55,16.91,115.46,-5.8%,58%,10%,18%,0.45,AA-,5.27%,124.9,26.3,-0.3%,61,钧达转债!,
235,时达转债!,128018,2017-12-04,新时达,002527,机械装备,机器人及,100.385,-0.08%,0.27%,5.1,1.59%,2.7,0.3%,110.3,7.45,1.27,68.46,46.6%,转股中,3.40年,1.40年,27.8%,19.0%,8.8,32,2.87%,2.28%,1.54%,1.18%,96.34,95.98,2.58,98.56,1.9%,36%,24%,16%,0.12,AA,4.27%,132.3,36.0,2.6%,45,时达转债!,
183,长久转债!,113519,2018-11-30,XD长久物,603569,交通运输,物流业,106.33,-0.62%,-1.03%,9.14,-5.58%,1.8,0.2%,120.1,11.15,2.13,81.97,29.7%,转股中,4.40年,2.40年,13.6%,11.2%,7.0,51,2.87%,2.05%,-1.02%,-1.29%,93.17,100.30,8.55,108.85,-2.3%,42%,12%,17%,0.29,AA,4.27%,130.7,30.4,-4.3%,18,长久转债!,
85,华锋转债!,128082,2020-01-06,华锋股份,002806,电子,元器件制,105.15,0.02%,0.13%,11.62,0.26%,2.9,0.8%,122,13.09,1.60,88.77,18.5%,转股中,5.48年,3.48年,17.2%,15.3%,3.5,20,2.82%,2.11%,-0.02%,-0.29%,81.65,83.85,26.23,110.08,-4.5%,67%,13%,18%,0.58,A+,7.29%,121.5,37.7,-0.1%,59,华锋转债!,
69,永创转债!,113559,2020-01-10,XD永创智,603901,机械装备,专用设备,102.37,-0.19%,0.16%,7.12,-0.14%,1.0,0.2%,118.9,10.32,2.36,68.99,48.4%,16天,5.53年,3.53年,16.3%,11.2%,5.1,31,2.82%,2.19%,0.69%,0.43%,86.13,88.72,9.04,97.76,4.7%,44%,26%,17%,0.28,AA-,5.59%,135.7,47.0,-1.3%,27,永创转债!,
10,凌钢转债!,110070,2020-05-13,凌钢股份,600231,钢铁,炼钢,100.62,0.02%,-0.36%,2.15,-0.92%,1.3,0.3%,117.8,2.75,0.77,78.18,28.7%,4月6天,5.83年,3.83年,7.4%,5.8%,4.4,60,2.80%,2.24%,0.87%,0.67%,87.18,91.15,12.79,103.94,-3.2%,40%,14%,18%,0.37,AA,4.59%,123.1,31.9,-1.0%,10,凌钢转债!,
217,迪龙转债!,128033,2018-01-29,雪迪龙,002658,城市公用,三废处理,99.841,-0.36%,0.26%,5.88,-0.84%,0.9,0.2%,109.8,8.83,1.78,66.59,49.9%,转股中,3.54年,1.54年,14.6%,9.7%,5.2,36,2.78%,2.24%,1.59%,1.29%,95.54,94.96,2.87,97.83,2.1%,38%,25%,17%,0.12,AA,4.27%,133.1,37.5,-1.3%,39,迪龙转债!,
102,迪贝转债!,113546,2019-11-21,迪贝电气,603320,家电,零部件制,104.92,0.55%,0.10%,12.29,1.15%,6.7,2.8%,121.1,14.10,1.86,87.16,20.4%,转股中,5.36年,3.36年,14.4%,12.5%,2.3,16,2.77%,2.07%,-0.13%,-0.38%,81.77,83.81,24.48,108.29,-3.1%,53%,15%,18%,0.56,A+,7.29%,122.7,38.9,-8.8%,43,迪贝转债!,
37,新春转债,113568,2020-04-02,五洲新春,603667,机械装备,通用设备,107.2,0.04%,1.04%,8.31,2.09%,3.4,1.0%,124.8,9.08,1.40,91.52,17.1%,3月3天,5.73年,3.73年,13.6%,12.4%,3.3,24,2.75%,2.00%,-0.61%,-0.84%,84.94,92.04,21.31,113.35,-5.4%,45%,12%,17%,0.52,AA-,5.59%,122.9,30.8,3.6%,38,新春转债,
240,久其转债!,128015,2017-07-18,久其软件,002279,计算机及,软件开发,102.35,-0.13%,-0.33%,7.01,-2.64%,7.5,0.9%,110.8,9.48,6.53,73.95,38.4%,转股中,2.99年,0.99年,15.6%,11.6%,7.8,50,2.73%,2.04%,-0.68%,-0.94%,94.15,91.29,6.06,97.35,5.1%,46%,28%,17%,0.17,A+,6.79%,130.8,36.6,2.9%,61,久其转债!,
226,众兴转债!,128026,2018-01-03,众兴菌业,002772,农业,种植业,100.6,-0.28%,-0.07%,8.25,-2.02%,3.7,0.4%,110.3,11.45,1.24,72.05,39.6%,转股中,3.50年,1.50年,30.3%,21.9%,9.2,30,2.72%,2.15%,1.32%,0.98%,94.43,92.50,5.17,97.67,3.0%,37%,24%,16%,0.17,AA-,5.27%,129.1,34.7,-6.9%,62,众兴转债!,
190,苏农转债!,113516,2018-08-20,苏农银行,603323,金融,银行行业,103.26,0.01%,-0.12%,4.32,-0.46%,5.7,0.4%,115.1,5.67,0.67,76.19,35.5%,转股中,4年50天,无权,16.5%,12.6%,13,78,2.72%,2.04%,无权,无权,无权,99.12,6.31,105.43,-2.1%,36%,16%,18%,0.24,AA+,3.77%,130.3,31.2,-0.8%,38,苏农转债!,
6,纵横转债,113573,2020-05-22,纵横通信,603602,通信互联,通信设备,106.95,0.15%,-1.00%,16.08,-1.53%,9.2,3.2%,124.7,18.81,3.65,85.49,25.1%,4月12天,5.84年,3.84年,8.2%,7.0%,2.7,33,2.72%,1.99%,-0.55%,-0.77%,79.15,83.42,23.34,106.76,0.2%,76%,16%,16%,0.56,A+,7.29%,128.4,45.0,-23.2%,9,纵横转债,
225,铁汉转债!,123004,2018-01-26,铁汉生态,300197,城市公用,生态环境,100.301,-0.10%,0.00%,2.53,-1.56%,1.8,0.2%,109.8,3.98,1.14,63.57,57.8%,转股中,3.52年,1.52年,14.0%,8.9%,8.3,59,2.66%,2.12%,1.34%,1.03%,95.64,95.06,1.70,96.76,3.7%,57%,27%,15%,0.06,AA,4.27%,137.0,41.4,-2.0%,30,铁汉转债!,
125,华钰转债!,113027,2019-07-10,华钰矿业,601020,有色金属,锌铅镍锡,101.3,0.03%,-0.03%,7.66,0.00%,1.8,0.3%,115.2,10.17,1.96,75.32,34.5%,转股中,5年1.1天,3年1.1天,15.9%,12.0%,6.4,40,2.66%,2.09%,0.75%,0.52%,90.10,92.47,8.81,101.28,0.0%,42%,18%,17%,0.31,AA,4.59%,127.3,34.8,-1.0%,54,华钰转债!,
70,建工转债!,110064,2020-01-16,重庆建工,600939,建筑,建筑工程,104.32,0.81%,-1.06%,3.6,-0.83%,9.9,0.6%,120.2,4.65,0.96,77.42,34.7%,13天,5.52年,3.52年,25.4%,19.7%,17,65,2.66%,2.00%,0.06%,-0.18%,90.32,96.82,8.50,105.32,-1.0%,37%,14%,16%,0.30,AA+,4.09%,131.2,34.4,-3.4%,42,建工转债!,
115,翔鹭转债!,128072,2019-09-16,翔鹭钨业,002842,有色金属,小金属,101.201,-0.09%,-0.07%,9.4,-0.84%,0.8,0.3%,115.5,15.36,2.85,61.20,65.4%,转股中,5.19年,3.19年,11.7%,7.2%,3.0,26,2.64%,2.08%,0.78%,0.55%,86.71,87.65,5.67,93.31,8.5%,62%,34%,18%,0.19,AA-,5.59%,141.2,53.6,-4.2%,29,翔鹭转债!,
233,嘉澳转债!,113502,2017-11-27,嘉澳环保,603822,石油天然,化工,103.01,-0.02%,0.02%,23.29,0.30%,0.4,0.2%,112.3,44.79,2.30,52.00,98.1%,转股中,3.41年,1.41年,10.8%,5.6%,1.9,17,2.62%,1.93%,-0.13%,-0.48%,94.87,94.61,0.93,95.54,7.8%,47%,47%,17%,0.02,AA-,5.27%,154.0,59.2,-1.8%,32,嘉澳转债!,
248,顺昌转债!!,128010,2016-02-23,澳洋顺昌,002245,交通运输,物流业,105.2,-0.23%,0.23%,3.86,-1.28%,1.9,0.4%,109.6,9.25,1.85,41.73,152%,转股中,1.61年,回售中,13.4%,5.6%,5.1,38,2.60%,1.47%,回售中,回售中,100.27,102.81,0.00,102.81,2.3%,42%,51%,17%,0.00,AA,4.09%,168.7,65.9,-1.3%,44,顺昌转债!!,
148,岱勒转债!,123024,2019-04-17,岱勒新材,300700,机械装备,专用设备,102.69,-0.06%,-0.08%,16.5,-0.84%,3.7,1.7%,113,24.90,2.76,66.27,55.0%,转股中,3.77年,1.77年,15.4%,10.2%,2.1,14,2.60%,1.96%,-0.48%,-0.65%,89.35,87.91,5.76,93.68,9.6%,61%,38%,18%,0.17,A+,6.97%,139.1,49.8,-1.8%,35,岱勒转债!,
41,盛屯转债!,110066,2020-03-31,盛屯矿业,600711,有色金属,有色行业,99.99,-0.06%,-0.82%,3.88,-2.27%,17,0.7%,115.3,4.92,1.00,78.86,26.8%,2月25天,5.72年,3.72年,26.6%,21.0%,24,90,2.57%,2.07%,0.98%,0.78%,87.34,89.65,12.60,102.24,-2.2%,45%,14%,17%,0.39,AA,4.59%,121.1,31.5,1.3%,54,盛屯转债!,
121,智能转债!,128070,2019-07-23,智能自控,002877,机械装备,通用设备,104.4,-0.12%,-0.23%,7.27,-0.82%,7.4,3.1%,118.1,9.55,3.42,76.13,37.1%,转股中,5年19天,无权,9.5%,7.2%,2.3,24,2.53%,1.88%,无权,无权,无权,83.55,16.36,99.91,4.5%,69%,26%,18%,0.43,A+,7.29%,132.7,49.1,-0.9%,36,智能转债!,
99,浦发转债!,110059,2019-11-15,浦发银行,600000,金融,银行行业,103.36,-0.09%,0.23%,10.55,0.67%,292,0.6%,117.8,15.05,0.60,70.10,47.4%,转股中,5.38年,无权,16.1%,11.3%,500,3097,2.53%,1.92%,无权,无权,无权,97.94,5.36,103.30,0.1%,20%,19%,17%,0.21,AAA,3.59%,136.6,38.7,0.7%,82,浦发转债!,
140,司尔转债!,128064,2019-05-07,司尔特,002538,石油天然,农化,102.197,0.00%,-0.19%,4.76,-0.63%,4.3,0.5%,114.9,6.07,0.91,78.42,30.3%,转股中,4.82年,2.82年,23.4%,18.4%,8.0,34,2.51%,1.93%,0.40%,0.17%,91.37,94.29,8.65,102.94,-0.7%,34%,16%,16%,0.31,AA,4.27%,126.0,31.7,-3.3%,56,司尔转债!,
77,鸿达转债,128085,2020-01-08,鸿达兴业,002002,石油天然,化工,109.3,-0.26%,-0.49%,3.68,-1.60%,6.8,0.3%,124.8,3.98,1.39,92.46,18.2%,9天,5.51年,3.51年,25.5%,23.6%,24,95,2.49%,1.71%,-1.28%,-1.50%,88.60,97.97,16.56,114.53,-4.6%,47%,11%,16%,0.46,AA,4.59%,126.1,28.2,-1.2%,79,鸿达转债,
205,新凤转债!,113508,2018-05-16,新凤鸣,603225,服装纺织,纺织行业,102.36,0.11%,-0.06%,10.26,0.39%,4.8,0.2%,112.3,15.78,1.27,65.02,57.4%,转股中,3.87年,1.87年,15.0%,9.7%,21,144,2.47%,1.87%,0.21%,-0.06%,94.47,95.81,2.26,98.07,4.4%,46%,28%,16%,0.11,AA,4.27%,139.7,43.9,3.2%,28,新凤转债!,
218,吉视转债!,113017,2018-01-15,吉视传媒,601929,传媒娱乐,影视娱乐,101,0.05%,0.22%,2.18,1.40%,8.3,0.5%,109.8,2.95,1.02,73.90,36.7%,转股中,3.54年,1.54年,23.0%,17.0%,16,68,2.43%,1.90%,0.90%,0.61%,96.32,96.56,3.84,100.40,0.6%,32%,20%,16%,0.19,AA+,3.77%,128.1,31.5,4.1%,51,吉视转债!,
160,中信转债!,113021,2019-03-19,中信银行,601998,金融,银行行业,106.48,0.03%,-0.03%,5.04,0.00%,34,0.1%,118.8,7.22,0.54,69.81,52.5%,转股中,4.72年,无权,16.2%,11.3%,400,2466,2.41%,1.69%,无权,无权,无权,102.49,3.83,106.31,0.2%,22%,19%,17%,0.16,AAA,3.27%,143.2,40.7,-0.5%,58,中信转债!,
74,森特转债,113557,2020-01-10,森特股份,603098,建筑,建筑工程,106.55,0.42%,-0.53%,9.06,-0.22%,2.6,0.4%,120.7,10.26,2.13,88.30,20.7%,12天,5.52年,3.52年,13.8%,12.2%,6.0,43,2.33%,1.67%,-0.65%,-0.86%,85.35,89.97,19.35,109.32,-2.5%,40%,14%,17%,0.50,AA-,5.59%,124.8,34.8,-1.4%,36,森特转债,
247,辉丰转债!!,128012,2016-05-17,*ST辉丰,002496,石油天然,农化,99.999,0.00%,0.00%,2.72,1.12%,0.0,0.0%,104.3,7.71,1.52,35.28,183%,转股中,1.85年,回售中,20.6%,7.3%,8.4,41,2.31%,1.85%,回售中,回售中,103.00,92.41,10.59,103.00,-2.9%,46%,<2%,17%,0.00,A+,6.79%,164.7,61.7,15.7%,59,辉丰转债!!,
192,凯中转债!,128042,2018-09-03,凯中精密,002823,能源电力,电力设备,106.655,0.13%,-0.56%,11.03,-1.25%,8.7,2.0%,116.9,12.94,2.48,85.24,25.1%,转股中,4年47天,2年47天,13.0%,11.1%,4.2,32,2.30%,1.55%,-1.36%,-1.64%,94.04,98.73,10.02,108.75,-1.9%,58%,14%,17%,0.35,AA,4.27%,128.1,29.3,3.3%,26,凯中转债!,
106,金轮转债!,128076,2019-11-08,金轮股份,002722,机械装备,专用设备,102.71,0.04%,-0.07%,11.88,-0.08%,3.3,1.5%,115.3,14.96,1.12,79.41,29.3%,转股中,5.34年,3.34年,10.3%,8.2%,2.1,21,2.24%,1.70%,0.31%,0.09%,85.98,86.77,14.61,101.39,1.3%,41%,20%,17%,0.43,AA-,5.59%,126.0,39.2,-0.2%,43,金轮转债!,
238,林洋转债!,113014,2017-11-13,林洋能源,601222,能源电力,电力设备,102.55,-0.10%,0.04%,5.17,-1.34%,34,1.1%,110.3,8.59,0.94,60.19,70.4%,转股中,3.37年,1.37年,33.0%,19.9%,30,91,2.23%,1.64%,0.16%,-0.20%,96.45,96.09,1.21,97.30,5.4%,38%,35%,16%,0.05,AA,4.27%,144.9,48.5,-0.1%,25,林洋转债!,
210,杭电转债!,113505,2018-03-27,杭电股份,603618,能源电力,电力设备,103.6,-0.33%,0.10%,5.56,-0.89%,2.4,0.3%,112.3,7.14,1.60,77.87,33.0%,转股中,3.73年,1.73年,19.5%,15.2%,7.5,38,2.23%,1.60%,-0.41%,-0.70%,95.02,96.37,5.94,102.31,1.3%,44%,20%,16%,0.25,AA,4.27%,129.3,33.0,-6.2%,40,杭电转债!,
156,中鼎转2!,127011,2019-04-04,中鼎股份,000887,汽车,零部件制,104.23,-0.46%,0.26%,7.9,-1.25%,18,1.5%,115.2,11.79,1.10,67.01,55.6%,转股中,4.73年,2.73年,12.4%,8.3%,12,96,2.18%,1.59%,-0.23%,-0.47%,93.09,97.03,3.84,100.87,3.3%,39%,26%,17%,0.16,AA+,3.77%,141.5,44.4,1.4%,30,中鼎转2!,
20,利群转债!,113033,2020-04-21,利群股份,601366,商业零售,商场,102,-0.09%,-0.20%,5.82,-0.68%,7.1,0.4%,115.3,7.16,1.09,81.28,25.5%,3月27天,5.80年,3.80年,35.9%,29.2%,18,50,2.18%,1.69%,0.45%,0.26%,87.02,89.32,14.31,103.63,-1.6%,33%,16%,17%,0.43,AA,4.59%,122.7,33.4,1.7%,28,利群转债!,
32,红相转债,123044,2020-04-13,红相股份,300427,能源电力,电力设备,111.4,0.00%,0.06%,16.16,0.12%,6.6,1.0%,125.5,18.93,2.50,85.37,30.5%,3月7天,5.75年,3.75年,10.1%,8.6%,5.9,58,2.15%,1.39%,-1.52%,-1.76%,85.11,92.51,17.48,109.99,1.3%,49%,20%,17%,0.45,AA-,5.59%,137.4,44.9,-2.9%,17,红相转债,
137,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,铝金属,104.19,-0.26%,0.08%,8.75,-0.57%,3.4,0.2%,115.1,11.20,0.78,78.12,33.4%,转股中,4.82年,2.82年,34.1%,26.7%,18,54,2.13%,1.55%,-0.25%,-0.47%,91.38,94.44,8.53,102.97,1.2%,29%,19%,16%,0.31,AA,4.27%,130.3,35.8,-1.3%,33,明泰转债!,
58,正裕转债!,113561,2020-02-10,正裕工业,603089,汽车,零部件制,106.05,-0.26%,2.51%,9.14,3.63%,2.6,0.8%,118.5,10.23,1.71,89.35,18.7%,24天,5.55年,3.55年,15.2%,13.6%,2.9,19,2.07%,1.47%,-0.36%,-0.60%,80.87,80.97,28.06,109.03,-2.7%,54%,19%,18%,0.62,A+,7.29%,122.8,41.8,-10.7%,31,正裕转债!,
40,君禾转债,113567,2020-04-03,君禾股份,603617,机械装备,通用设备,106.42,0.23%,-0.35%,10.48,-0.19%,11,5.1%,119.3,11.46,2.45,91.45,16.4%,2月29天,5.72年,3.72年,10.0%,9.2%,2.1,21,2.06%,1.46%,-0.48%,-0.70%,79.72,80.51,30.28,110.79,-3.9%,57%,13%,18%,0.65,A+,7.29%,121.4,40.9,-2.4%,30,君禾转债,
28,雷迪转债,123045,2020-04-13,雷迪克,300652,汽车,零部件制,106.45,0.38%,-0.06%,18.76,0.48%,2.2,0.7%,119.4,20.38,2.11,92.05,15.6%,3月7天,5.75年,3.75年,17.5%,16.1%,2.9,17,2.06%,1.46%,-0.46%,-0.68%,79.67,80.45,30.89,111.34,-4.4%,35%,13%,18%,0.66,A+,7.29%,120.8,40.4,-0.3%,36,雷迪转债,
24,久吾转债,123047,2020-04-17,久吾高科,300631,机械装备,专用设备,116,-1.07%,-1.40%,18.71,-3.56%,13,4.5%,130.1,17.76,2.84,105.35,10.1%,3月15天,5.77年,3.77年,12.9%,13.5%,2.5,20,2.06%,1.20%,-2.27%,-2.55%,80.73,87.66,38.25,125.91,-7.9%,58%,5%,18%,0.69,A+,7.29%,126.7,39.0,-1.7%,19,久吾转债,
