序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
120,荣晟转债!,113541,2019/8/13,荣晟环保,603165,造纸包装,包装用纸,105.89,-0.56%,0.11%,11.5,-0.86%,3.6,1.00%,115.5,13.06,1.4,88.06,20.30%,转股中,5年47天,3年47天,11.60%,10.20%,3.3,29,1.75%,1.19%,-0.55%,-0.79%,86.86,87.5,20.17,107.67,-1.70%,52%,17%,18%,0.53,AA-,5.70%,126.19 ,123.7,36.2,-14.80%,54,荣晟转债!
102,迪贝转债!,113546,2019/11/21,迪贝电气,603320,家电,零部件制,106.2,-0.22%,-0.34%,12.48,-0.95%,6.1,2.50%,121.1,14.1,1.89,88.51,20.00%,转股中,5.38年,3.38年,14.20%,12.50%,2.3,16,2.53%,1.83%,-0.48%,-0.72%,81.37,83.25,25.73,108.98,-2.50%,53%,15%,18%,0.58,A+,7.40%,126.20 ,123.9,40.6,-13.30%,43,迪贝转债!
173,钧达转债!,128050,2018/12/27,钧达股份,2865,汽车,零部件制,109.1,-1.27%,-0.36%,13.89,-3.54%,37,10.50%,123.5,14.93,1.98,93.03,17.30%,转股中,4.51年,2.51年,19.10%,17.70%,3.2,17,2.85%,1.94%,-1.85%,-2.12%,90.51,98.21,17.36,115.57,-5.60%,58%,10%,18%,0.46,AA-,5.33%,126.40 ,125.2,27,1.10%,61,钧达转债!
215,江银转债!,128034,2018/2/14,江阴银行,2807,金融,银行行业,106.45,-0.51%,0.93%,4.15,0.97%,7.3,0.40%,109.1,4.68,0.78,88.68,20.00%,转股中,3.64年,无权,19.50%,17.30%,18,90,0.69%,0.22%,无权,无权,无权,95.34,11.7,107.04,-0.60%,34%,20%,18%,0.42,AA+,3.83%,126.45 ,124.2,28.9,1.70%,31,江银转债!
60,唐人转债,128092,2020/1/22,唐人神,2567,农业,畜牧业,112.85,-1.53%,0.34%,8.77,-1.90%,26,1.80%,115.3,8.86,2.07,98.98,14.00%,30天,5.57年,3.57年,16.90%,16.70%,12,73,0.39%,-0.10%,-2.24%,-2.43%,87.6,89.74,24.21,113.95,-1.00%,54%,16%,16%,0.63,AA,4.70%,126.85 ,126.7,37,-5.20%,33,唐人转债
159,贵广转债!,110052,2019/3/29,贵广网络,600996,传媒娱乐,影视娱乐,112.7,-0.04%,1.03%,7.93,1.93%,19,1.10%,118.5,8.04,1.86,98.63,14.30%,转股中,4.75年,2.75年,18.30%,18.10%,15,83,1.09%,0.40%,-2.80%,-3.05%,93.18,99.52,17.24,116.75,-3.50%,44%,14%,16%,0.52,AA+,3.83%,127.00 ,126.8,27.3,8.50%,16,贵广转债!
158,博彦转债,128057,2019/4/2,博彦科技,2649,计算机及,软件开发,112.56,-0.61%,0.20%,8.65,-0.69%,4.9,0.80%,117.1,8.81,1.7,98.18,14.60%,转股中,4.75年,2.75年,11.80%,11.50%,5.4,46,0.85%,0.21%,-2.84%,-3.07%,89.21,91.99,22.44,114.44,-1.60%,76%,15%,16%,0.6,AA-,5.33%,127.16 ,126.9,34.9,1.70%,31,博彦转债
5,全筑转债,113578,2020/5/19,全筑股份,603030,建筑,装饰工程,120.52,-0.16%,0.75%,6.17,0.82%,17,3.80%,118.3,5.47,1.54,112.8,6.80%,4月22天,5.87年,3.87年,11.60%,13.00%,3.8,33,-0.32%,-0.86%,-3.66%,-3.83%,86.38,90.79,35.26,126.05,-4.40%,73%,13%,17%,0.72,AA,4.70%,127.32 ,128.2,37.5,6.80%,6,全筑转债
58,正裕转债!,113561,2020/2/10,正裕工业,603089,汽车,零部件制,105.91,-0.08%,-0.18%,8.91,-0.45%,1.1,0.40%,118.5,10.23,1.67,87.1,21.60%,31天,5.57年,3.57年,15.60%,13.60%,2.9,19,2.09%,1.49%,-0.32%,-0.56%,80.46,80.41,26.65,107.06,-1.10%,55%,17%,18%,0.6,A+,7.40%,127.51 ,124.7,44.3,-17.90%,30,正裕转债!
234,久立转2!,128019,2017/12/1,久立特材,2318,石油天然,石油天然,109.92,-1.20%,1.20%,7.12,0.00%,6,0.50%,109.8,7.62,1.82,93.44,17.60%,转股中,3.42年,1.42年,17.40%,16.20%,10,60,-0.03%,-0.56%,-4.30%,-4.60%,95.92,95.24,14.08,109.32,0.60%,35%,21%,17%,0.5,AA,4.33%,127.52 ,126.4,30.5,1.90%,14,久立转2!
231,国祯转债!,123002,2017/12/25,国祯环保,300388,城市公用,三废处理,117.701,0.03%,-0.90%,9.21,-1.29%,1.1,0.20%,109.8,8.6,1.8,107.09,9.90%,转股中,3.47年,1.47年,6.70%,7.10%,4.2,63,-2.02%,-2.53%,-8.14%,-8.41%,95.74,95.06,22.63,117.69,0.00%,51%,16%,16%,0.68,AA,4.33%,127.60 ,128.3,32.6,-5.50%,12,国祯转债!
74,森特转债,113557,2020/1/10,森特股份,603098,建筑,建筑工程,107.89,-0.18%,0.52%,9.24,0.65%,12,1.90%,120.7,10.26,2.17,90.06,19.80%,19天,5.54年,3.54年,13.50%,12.20%,6,44,2.09%,1.43%,-0.99%,-1.20%,84.93,89.37,20.76,110.13,-2.00%,40%,16%,17%,0.53,AA-,5.70%,127.69 ,125.7,36.4,-0.60%,36,森特转债
92,白电转债,113549,2019/12/11,白云电器,603861,能源电力,电力设备,109.71,-0.88%,1.15%,8.36,0.48%,17,1.80%,115.1,8.99,1.59,92.99,18.00%,转股中,5.44年,3.44年,23.30%,21.70%,8.8,38,0.90%,0.40%,-1.59%,-1.78%,87.91,90.06,19.78,109.83,-0.10%,41%,18%,16%,0.56,AA,4.70%,127.71 ,126.4,36.4,1.20%,37,白电转债
110,远东转债,128075,2019/10/31,远东传动,2406,汽车,零部件制,121.49,1.06%,1.51%,6.62,3.44%,35,3.20%,115.2,5.79,1.36,114.34,6.30%,转股中,5.30年,3.30年,24.10%,27.50%,8.9,37,-1.02%,-1.52%,-4.51%,-4.70%,88.59,90.75,35.66,126.42,-3.90%,31%,15%,17%,0.75,AA,4.70%,127.79 ,128.6,37.9,7.60%,19,远东转债
107,金能转债,113545,2019/11/7,金能科技,603113,煤炭,炼焦,109.11,-0.69%,0.13%,10.48,-1.04%,22,1.30%,115.3,11.4,1.23,91.93,18.70%,转股中,5.36年,3.36年,21.20%,19.50%,15,71,1.06%,0.54%,-1.42%,-1.63%,88.46,90.61,19.57,110.19,-1.00%,43%,17%,17%,0.54,AA,4.70%,127.81 ,126.3,35.7,3.70%,25,金能转债
68,日月转债,113558,2020/1/14,日月股份,603218,机械装备,通用设备,126.45,-0.56%,1.43%,17.25,1.05%,36,2.40%,115.3,13.84,2.59,124.64,1.50%,21天,5.55年,3.55年,9.40%,11.70%,12,128,-1.68%,-2.16%,-5.22%,-5.40%,87.68,89.82,44.45,134.27,-5.80%,46%,<2%,16%,0.82,AA,4.70%,127.95 ,128.3,38.4,-20.50%,20,日月转债
41,盛屯转债!,110066,2020/3/31,盛屯矿业,600711,有色金属,有色行业,100.82,-0.85%,0.95%,3.9,0.26%,21,0.90%,115.3,4.92,1,79.27,27.20%,3月2天,5.74年,3.74年,26.50%,21.00%,24,90,2.41%,1.92%,0.76%,0.56%,86.91,89.04,13.09,102.13,-1.30%,45%,18%,17%,0.4,AA,4.70%,128.02 ,122.4,33.3,1.40%,54,盛屯转债!
31,三祥转债!,113572,2020/4/9,三祥新材,603663,其他,其他,113.98,-0.90%,1.00%,14.18,0.14%,7.8,3.30%,113.2,14.19,4.86,99.93,14.10%,3月14天,5.76年,3.76年,7.60%,7.60%,2.1,27,-0.12%,-0.53%,-2.40%,-2.57%,78.53,75.62,38.12,113.74,0.20%,45%,20%,17%,0.77,A+,7.40%,128.08 ,128,49.5,0.90%,14,三祥转债!
117,合兴转债!,128071,2019/9/16,合兴包装,2228,造纸包装,包装材料,109.8,-0.98%,1.26%,3.97,0.51%,3.5,0.50%,115.1,4.28,1.55,92.76,18.40%,转股中,5.19年,3.19年,12.80%,11.90%,6,46,0.93%,0.40%,-1.73%,-1.93%,88.92,91.09,20.31,111.4,-1.40%,37%,19%,18%,0.53,AA,4.70%,128.20 ,126.8,35.7,5.10%,29,合兴转债!
230,兄弟转债!,128021,2017/12/27,兄弟科技,2562,医药,原料药,114.1,-1.31%,0.87%,5.24,-0.76%,6.8,1.20%,109.8,5.25,2.24,99.81,14.30%,转股中,3.48年,1.48年,10.70%,10.70%,5.1,47,-1.12%,-1.63%,-6.33%,-6.60%,95.69,95.01,17.61,112.63,1.30%,55%,20%,16%,0.58,AA,4.33%,128.40 ,128.4,32.7,-0.40%,13,兄弟转债!
253,电气转债!,113008,2015/2/16,上海电气,601727,能源电力,电力设备,111.1,2.68%,-0.59%,4.86,9.95%,449,9.20%,106.6,5.13,1.16,94.74,17.30%,转股中,0.66年,回售中,6.10%,5.70%,45,736,-6.07%,-7.82%,回售中,回售中,103,104.62,1.74,106.37,4.50%,30%,30%,16%,0.21,AAA,2.88%,128.40 ,127.5,22.8,7.10%,28,电气转债!
9,维尔转债,123049,2020/5/12,维尔利,300190,城市公用,三废处理,117,0.86%,0.78%,7.82,2.49%,20,1.90%,124.8,7.48,1.55,104.55,11.90%,4月15天,5.85年,3.85年,15.00%,15.60%,9.2,61,1.13%,0.42%,-2.75%,-2.97%,84.03,90.88,31.25,122.13,-4.20%,52%,13%,17%,0.66,AA-,5.70%,128.90 ,129.5,38.6,13.30%,10,维尔转债
6,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,107.91,0.16%,0.49%,21.84,1.06%,5.3,1.80%,124.7,24.49,4.96,89.18,21.00%,4月19天,5.86年,3.86年,7.90%,7.00%,2.7,34,2.55%,1.82%,-0.77%,-0.99%,78.72,82.82,26.49,109.31,-1.30%,75%,16%,16%,0.61,A+,7.40%,128.91 ,126.6,43.8,-3.00%,8,纵横转债
122,华森转债!,128069,2019/7/11,华森制药,2907,医药,化学制药,110.485,-0.15%,-0.24%,16.85,-0.71%,2,0.60%,120.5,18.08,6.65,93.2,18.60%,转股中,5年18天,3年18天,4.40%,4.10%,3,68,1.77%,1.06%,-1.89%,-2.12%,87.24,91.66,19.89,111.56,-1.00%,62%,15%,16%,0.55,AA-,5.70%,129.09 ,127.8,36.1,-2.30%,43,华森转债!
75,孚日转债!,128087,2020/1/16,孚日股份,2083,服装纺织,家纺,101,-0.36%,0.60%,5.04,0.60%,7.2,1.10%,113.3,6.39,1.19,78.87,28.10%,17天,5.53年,3.53年,14.20%,11.20%,6.5,46,2.14%,1.69%,0.75%,0.55%,87.75,88.34,12.01,100.35,0.70%,30%,19%,16%,0.4,AA,4.70%,129.10 ,123.1,34.8,-2.30%,45,孚日转债!
172,光华转债!,128051,2019/1/9,光华科技,2741,电子,元器件制,114.849,1.23%,2.24%,12.78,5.53%,117,41.00%,115.5,12.72,4.07,100.47,14.30%,转股中,4.52年,2.52年,5.20%,5.30%,2.5,48,0.13%,-0.48%,-3.72%,-3.98%,90.44,91.81,24.56,116.37,-1.30%,42%,19%,17%,0.63,AA-,5.33%,129.15 ,129.2,37.4,6.30%,24,光华转债!
17,鲁泰转债,127016,2020/5/13,鲁 泰Ａ,726,服装纺织,纺织行业,105.7,-0.59%,0.48%,7.7,-0.26%,15,1.00%,116.2,9.01,0.84,85.46,23.70%,4月11天,5.84年,3.84年,21.20%,18.10%,14,66,1.66%,1.16%,-0.48%,-0.66%,88.06,91.77,14.22,105.99,-0.30%,21%,17%,16%,0.44,AA+,4.20%,129.40 ,125.9,34.2,-1.20%,17,鲁泰转债
10,凌钢转债!,110070,2020/5/13,XD凌钢股,600231,钢铁,炼钢,101.01,-0.61%,0.43%,2.16,-0.46%,2.4,0.50%,117.8,2.75,0.77,78.55,28.60%,4月13天,5.85年,3.85年,7.40%,5.80%,4.4,60,2.72%,2.16%,0.77%,0.57%,86.74,90.52,13.25,103.78,-2.70%,40%,16%,18%,0.38,AA,4.70%,129.61 ,123.5,33,-0.60%,10,凌钢转债!
138,鼎胜转债!,113534,2019/4/30,鼎胜新材,603876,有色金属,小金属,111.26,-1.17%,0.88%,14.36,-0.55%,25,1.90%,114.9,15.28,1.69,93.98,18.40%,转股中,4.84年,2.84年,19.30%,18.10%,12,62,0.68%,0.12%,-2.43%,-2.64%,91.13,93.94,17.47,111.41,-0.10%,53%,18%,16%,0.52,AA,4.33%,129.66 ,128.5,34.6,2.40%,37,鼎胜转债!
22,同德转债,128103,2020/4/21,同德化工,2360,石油天然,化工,111.799,-0.30%,0.44%,4.91,0.20%,4.3,2.70%,121.8,5.18,1.69,94.79,17.90%,4月5天,5.80年,3.80年,7.50%,7.10%,1.4,19,1.52%,0.87%,-1.65%,-1.87%,79.13,81.26,32.05,113.31,-1.30%,33%,17%,17%,0.68,A+,7.40%,129.70 ,128.8,47.6,0.50%,9,同德转债
203,三力转债!,128039,2018/6/29,三 力 士,2224,机械装备,专用设备,117.178,0.65%,0.03%,6.04,1.00%,3,1.30%,110.3,5.83,1.93,103.6,13.10%,转股中,4年2.0天,2年2.0天,4.60%,4.80%,2,44,-1.53%,-1.99%,-5.80%,-6.05%,92.18,89.98,26.13,116.12,0.90%,41%,20%,17%,0.68,AA-,5.33%,130.28 ,130.8,38.6,-2.80%,19,三力转债!
155,视源转债,128059,2019/4/2,视源股份,2841,电子,液晶显示,125.6,-1.34%,0.28%,89.95,-1.36%,15,1.20%,113.9,74.97,12,119.98,4.70%,转股中,4.76年,2.76年,1.60%,1.90%,9.4,590,-2.07%,-2.58%,-6.48%,-6.68%,91.43,93.44,36.61,130.05,-3.40%,47%,11%,16%,0.78,AA,4.33%,130.30 ,131.2,37.8,8.90%,13,视源转债
87,克来转债,113552,2019/12/19,克来机电,603960,机械装备,机器人及,127.64,-1.14%,0.96%,24.57,-0.20%,5.1,2.20%,118.5,19.78,7.14,124.22,2.80%,2.0天,5.49年,3.49年,3.00%,3.70%,1.8,60,-1.37%,-1.95%,-5.35%,-5.57%,80.91,80.87,54.87,135.74,-6.00%,59%,<2%,17%,0.87,A+,7.40%,130.44 ,131.1,50.2,-13.60%,15,克来转债
82,鹰19转债,110063,2020/1/3,山鹰纸业,600567,造纸包装,包装用纸,109.39,-0.75%,0.75%,2.98,0.00%,4.4,0.20%,116.2,3.3,1,90.3,21.10%,13天,5.52年,3.52年,13.60%,12.30%,19,137,1.12%,0.59%,-1.49%,-1.68%,89.08,92.97,16.94,109.91,-0.50%,31%,18%,17%,0.49,AA+,4.20%,130.49 ,128.5,35.5,-0.10%,47,鹰19转债
25,天铁转债,123046,2020/4/17,天铁股份,300587,铁路,铁路设备,119.35,-0.51%,1.18%,18.58,0.92%,1,0.20%,118.2,17.35,3.23,107.09,11.40%,3月21天,5.78年,3.78年,11.80%,12.70%,4,34,-0.17%,-0.72%,-3.43%,-3.62%,83.84,86.37,35.42,121.79,-2.00%,55%,17%,17%,0.72,AA-,5.70%,130.75 ,131.6,45.2,4.30%,7,天铁转债
211,艾华转债!,113504,2018/3/23,艾华集团,603989,电子,元器件制,129.06,-1.45%,0.14%,27.2,-1.56%,8.7,1.00%,110.3,21.43,4.87,126.92,1.70%,转股中,3.74年,1.74年,6.40%,8.10%,6.8,106,-4.19%,-4.66%,-11.30%,-11.60%,94.89,94.43,39.84,134.27,-3.90%,41%,<2%,16%,0.84,AA,4.33%,130.76 ,131.2,36.3,-2.00%,10,艾华转债!
170,台华转债!,113525,2019/1/11,台华新材,603055,服装纺织,纺织行业,106.17,-0.91%,-0.47%,6.91,-3.49%,2.8,0.50%,114.9,8.11,2.03,85.2,24.60%,转股中,4.53年,2.53年,10.00%,8.50%,5.3,53,1.79%,1.19%,-0.98%,-1.23%,92.33,95.19,12.03,107.22,-1.00%,47%,16%,17%,0.4,AA,4.33%,130.77 ,127.1,32,6.80%,21,台华转债!
